population_size,generations,final_hypervolume_mean,final_hypervolume_std,final_hypervolume_min,final_hypervolume_max,final_spread_mean,final_spread_std,final_spacing_mean,final_spacing_std,pareto_size_mean,pareto_size_std,execution_time_mean,execution_time_std,convergence_generation_mean,convergence_generation_std,convergence_generation_<lambda_0>
300,50,6.725166958254198e-08,5.9343394058867576e-08,7.488837146754814e-09,1.2616653741861314e-07,0.9380392454874146,0.050518706482760384,8.030013025855866e-05,3.469464728629856e-05,300.0,0.0,165.64886705080667,10.83747290776362,,,0
200,50,6.667220719857319e-08,4.180881810999819e-08,3.076119442961164e-08,1.1257009435466187e-07,1.0280416489865651,0.05655755414354642,8.918336614071328e-05,2.5717542187192242e-05,200.0,0.0,129.60561966896057,15.46964646182264,,,0
100,200,5.813333289071527e-08,1.5564464936909895e-08,4.196068528887899e-08,7.30083731338198e-08,0.9457681520426795,0.07870720737060943,0.00012863755301101393,2.624424620918325e-05,100.0,0.0,255.47143427530924,21.498992724929103,,,0
200,200,5.585889349552174e-08,3.752789419052101e-08,3.0181846545848164e-08,9.892753088567705e-08,0.9520002037193697,0.03412762090300258,9.296851515559935e-05,5.779043895015362e-05,200.0,0.0,471.4694429238637,29.151761525620245,,,0
300,100,4.8272203715009726e-08,2.1444935437033416e-08,2.7318116806102615e-08,7.017640505141308e-08,0.9404497386431588,0.11637015963907855,7.825732146325504e-05,3.368792495081665e-05,300.0,0.0,372.2108591397603,41.880826014112245,,,0
300,200,4.7733706017002315e-08,5.741615211508973e-09,4.172816625868116e-08,5.316881312513612e-08,0.9293685310764838,0.0783109676036831,7.883675129734958e-05,1.1808470696446446e-05,300.0,0.0,836.3202998638153,20.043379904722755,,,0
300,25,3.786347585928075e-08,1.5006003320326648e-08,2.549274847698866e-08,5.4556168596117274e-08,1.0339278198208526,0.0389458041777498,5.877902295205612e-05,1.3304240826928527e-05,300.0,0.0,62.68092425664266,26.191042051766093,,,0
200,100,3.7408388898741686e-08,1.2753574508517477e-08,2.2804109918402496e-08,4.6350631843765274e-08,0.8645794401681567,0.04133675841589692,6.467556308591524e-05,2.8067542788522212e-05,200.0,0.0,225.09826437632242,24.45801055394658,11.0,,1
100,25,3.5915143932697185e-08,9.809359494331653e-09,2.7954427412095055e-08,4.687359491579821e-08,0.9508709700275205,0.12007382126465524,0.00010704638668879362,2.4464489242311067e-05,100.0,0.0,20.05624047915141,5.888067545768709,,,0
50,200,2.612708016302821e-08,1.7224401551966623e-08,6.283619190891966e-09,3.721405796570747e-08,0.8912467541684164,0.14420373572677153,0.00016580757326868675,7.264565065930529e-05,50.0,0.0,191.8223577340444,36.017366601819525,21.0,,1
100,100,2.192740154126299e-08,1.3445699442544174e-08,7.22934426287427e-09,3.3607961974192216e-08,0.921875352865183,0.0543933183338403,0.0001197736432368853,1.875168233419379e-05,100.0,0.0,154.2810524304708,21.11186110190333,,,0
50,50,2.129817159415063e-08,2.2643193275042647e-08,2.725901139118971e-09,4.652222636280498e-08,0.7838141077078292,0.15314162250626934,0.0002508869456076803,0.00011757040647507967,50.0,0.0,42.499228636423744,8.887695383084788,,,0
200,25,1.9972908483073693e-08,1.520842716437358e-08,3.3479427133934727e-09,3.318479354387128e-08,0.8805392259793504,0.15947238429721577,4.57586761013079e-05,1.935700154120459e-05,194.66666666666666,6.806859285554042,52.760106325149536,7.631027608867553,,,0
50,25,1.733918594159493e-08,2.7815507815540207e-08,1.0734547595825169e-10,4.9428500276279176e-08,0.8625855430973335,0.14311231554042528,0.00014414627080326257,0.0001277299032581025,50.0,0.0,16.665895303090412,7.7297385736564985,11.0,,1
100,50,1.4358898514344027e-08,2.8592522594044417e-09,1.1065672936407451e-08,1.6208790550968428e-08,0.7247793134541672,0.2120504373946554,7.212085168867924e-05,2.2011171093029735e-05,100.0,0.0,80.52308901151021,1.848103117556827,,,0
50,100,6.047098851819529e-09,1.0021692152661575e-08,-0.0,1.761516466017955e-08,0.6617845620638961,0.19848276343084748,0.00011650354481067347,9.564487753586966e-05,50.0,0.0,127.54791434605916,7.747055056957505,17.0,5.656854249492381,2
